model,image,threshold,tp,fp,fn,gt_pixels,pred_pixels,instances,iou,seconds
packaged,CRACK500_20160310_114441_641_1.jpg,0.1,11954,23656,420,12374,35610,2,0.33177907299472664,0.061273250001249835
packaged,CRACK500_20160310_114441_641_1.jpg,0.25,11946,23540,428,12374,35486,1,0.33262794453416494,0.061273250001249835
packaged,CRACK500_20160310_114441_641_1.jpg,0.5,11946,23540,428,12374,35486,1,0.33262794453416494,0.061273250001249835
packaged,CRACK500_20160316_142009_1281_361.jpg,0.1,10566,4635,1364,11930,15201,1,0.637850890431633,0.05991550000180723
packaged,CRACK500_20160316_142009_1281_361.jpg,0.25,10566,4635,1364,11930,15201,1,0.637850890431633,0.05991550000180723
packaged,CRACK500_20160316_142009_1281_361.jpg,0.5,10566,4635,1364,11930,15201,1,0.637850890431633,0.05991550000180723
packaged,CRACK500_20160316_143547_1281_1081.jpg,0.1,2419,221,427,2846,2640,1,0.7887186175415716,0.06105616699642269
packaged,CRACK500_20160316_143547_1281_1081.jpg,0.25,2419,221,427,2846,2640,1,0.7887186175415716,0.06105616699642269
packaged,CRACK500_20160316_143547_1281_1081.jpg,0.5,2419,221,427,2846,2640,1,0.7887186175415716,0.06105616699642269
packaged,CRACK500_20160316_143629_1281_721.jpg,0.1,1081,25,1387,2468,1106,1,0.43361411953469714,0.060939667004277
packaged,CRACK500_20160316_143629_1281_721.jpg,0.25,1081,25,1387,2468,1106,1,0.43361411953469714,0.060939667004277
packaged,CRACK500_20160316_143629_1281_721.jpg,0.5,0,0,2468,2468,0,0,0.0,0.060939667004277
packaged,CRACK500_20160321_185518_1_721.jpg,0.1,2789,1419,802,3591,4208,2,0.556686626746507,0.060497374994156417
packaged,CRACK500_20160321_185518_1_721.jpg,0.25,2789,1419,802,3591,4208,2,0.556686626746507,0.060497374994156417
packaged,CRACK500_20160321_185518_1_721.jpg,0.5,0,0,3591,3591,0,0,0.0,0.060497374994156417
packaged,CRACK500_20160328_150820_641_361.jpg,0.1,929,333,10,939,1262,2,0.7303459119496856,0.06123687500075903
packaged,CRACK500_20160328_150820_641_361.jpg,0.25,925,193,14,939,1118,1,0.8171378091872792,0.06123687500075903
packaged,CRACK500_20160328_150820_641_361.jpg,0.5,0,0,939,939,0,0,0.0,0.06123687500075903
packaged,CRACK500_20160328_151244_641_721.jpg,0.1,39879,4172,5806,45685,44051,1,0.799867621397196,0.0595187500002794
packaged,CRACK500_20160328_151244_641_721.jpg,0.25,39879,4172,5806,45685,44051,1,0.799867621397196,0.0595187500002794
packaged,CRACK500_20160328_151244_641_721.jpg,0.5,39879,4172,5806,45685,44051,1,0.799867621397196,0.0595187500002794
packaged,CRACK500_20160328_151413_1_361.jpg,0.1,19780,6049,2007,21787,25829,1,0.7105906020980026,0.06197816600615624
packaged,CRACK500_20160328_151413_1_361.jpg,0.25,19780,6049,2007,21787,25829,1,0.7105906020980026,0.06197816600615624
packaged,CRACK500_20160328_151413_1_361.jpg,0.5,19780,6049,2007,21787,25829,1,0.7105906020980026,0.06197816600615624
packaged,CRACK500_20160328_153404_641_721.jpg,0.1,31619,5609,2641,34260,37228,1,0.7930723118212145,0.06296233399916673
packaged,CRACK500_20160328_153404_641_721.jpg,0.25,31619,5609,2641,34260,37228,1,0.7930723118212145,0.06296233399916673
packaged,CRACK500_20160328_153404_641_721.jpg,0.5,31619,5609,2641,34260,37228,1,0.7930723118212145,0.06296233399916673
packaged,CRACK500_20160328_153536_641_1081.jpg,0.1,7214,5014,8926,16140,12228,2,0.34102297437836815,0.05984583400277188
packaged,CRACK500_20160328_153536_641_1081.jpg,0.25,0,0,16140,16140,0,0,0.0,0.05984583400277188
packaged,CRACK500_20160328_153536_641_1081.jpg,0.5,0,0,16140,16140,0,0,0.0,0.05984583400277188
packaged,CRACK500_20160328_153553_1281_721.jpg,0.1,12682,1707,1315,13997,14389,2,0.8075649516046867,0.06156291700608563
packaged,CRACK500_20160328_153553_1281_721.jpg,0.25,12551,1586,1446,13997,14137,1,0.805428993133543,0.06156291700608563
packaged,CRACK500_20160328_153553_1281_721.jpg,0.5,12551,1586,1446,13997,14137,1,0.805428993133543,0.06156291700608563
packaged,CRACK500_20160328_153556_1_361.jpg,0.1,13583,2766,742,14325,16349,3,0.794745772628869,0.06008470799861243
packaged,CRACK500_20160328_153556_1_361.jpg,0.25,488,264,13837,14325,752,1,0.03344985948317225,0.06008470799861243
packaged,CRACK500_20160328_153556_1_361.jpg,0.5,0,0,14325,14325,0,0,0.0,0.06008470799861243
packaged,CRACK500_20160328_153706_1921_1.jpg,0.1,14946,4004,2777,17723,18950,3,0.6878998481152483,0.06128549999993993
packaged,CRACK500_20160328_153706_1921_1.jpg,0.25,14946,4004,2777,17723,18950,3,0.6878998481152483,0.06128549999993993
packaged,CRACK500_20160328_153706_1921_1.jpg,0.5,14467,3723,3256,17723,18190,2,0.6745780098852933,0.06128549999993993
packaged,CRACK500_20160329_094010_641_721.jpg,0.1,7835,3166,136,7971,11001,1,0.7035108197898896,0.06025104099535383
packaged,CRACK500_20160329_094010_641_721.jpg,0.25,7835,3166,136,7971,11001,1,0.7035108197898896,0.06025104099535383
packaged,CRACK500_20160329_094010_641_721.jpg,0.5,7835,3166,136,7971,11001,1,0.7035108197898896,0.06025104099535383
packaged,CRACK500_20160329_101503_641_721.jpg,0.1,17590,3671,3796,21386,21261,4,0.7019994412738955,0.06311579199973494
packaged,CRACK500_20160329_101503_641_721.jpg,0.25,14907,2794,6479,21386,17701,3,0.6165012406947891,0.06311579199973494
packaged,CRACK500_20160329_101503_641_721.jpg,0.5,13286,2412,8100,21386,15698,1,0.558282208588957,0.06311579199973494
packaged,CRACK500_20160329_104120_1_721.jpg,0.1,8770,1589,3684,12454,10359,5,0.6245104322438225,0.062129582998750266
packaged,CRACK500_20160329_104120_1_721.jpg,0.25,5956,1089,6498,12454,7045,3,0.4397843904600162,0.062129582998750266
packaged,CRACK500_20160329_104120_1_721.jpg,0.5,1535,337,10919,12454,1872,1,0.12000625439762333,0.062129582998750266
packaged,CRACK500_20160329_104152_641_721.jpg,0.1,12452,3223,1590,14042,15675,1,0.7212279177526788,0.061128875000576954
packaged,CRACK500_20160329_104152_641_721.jpg,0.25,12452,3223,1590,14042,15675,1,0.7212279177526788,0.061128875000576954
packaged,CRACK500_20160329_104152_641_721.jpg,0.5,12452,3223,1590,14042,15675,1,0.7212279177526788,0.061128875000576954
packaged,CRACK500_20160329_115529_1_721.jpg,0.1,22079,1757,11060,33139,23836,1,0.6327086198991289,0.06510916700062808
packaged,CRACK500_20160329_115529_1_721.jpg,0.25,22079,1757,11060,33139,23836,1,0.6327086198991289,0.06510916700062808
packaged,CRACK500_20160329_115529_1_721.jpg,0.5,22079,1757,11060,33139,23836,1,0.6327086198991289,0.06510916700062808
packaged,CRACK500_20160330_163725_641_1081.jpg,0.1,5619,1388,1248,6867,7007,8,0.6806783767413689,0.0628613749940996
packaged,CRACK500_20160330_163725_641_1081.jpg,0.25,5573,1350,1294,6867,6923,3,0.6782280637702325,0.0628613749940996
packaged,CRACK500_20160330_163725_641_1081.jpg,0.5,4099,950,2768,6867,5049,1,0.5243699629013688,0.0628613749940996
packaged,CRACK500_20160330_165333_1921_1081.jpg,0.1,0,0,1704,1704,0,0,0.0,0.06041374999767868
packaged,CRACK500_20160330_165333_1921_1081.jpg,0.25,0,0,1704,1704,0,0,0.0,0.06041374999767868
packaged,CRACK500_20160330_165333_1921_1081.jpg,0.5,0,0,1704,1704,0,0,0.0,0.06041374999767868
